FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
47009,460168,Romney,0,-1,-460168,15467331
47011,202812,Romney,0,-1,-202812,15724687
47013,62958,Romney,0,-1,-62958,15864541
47015,93821,Romney,0,-1,-93821,15833678
47017,236520,Romney,0,-1,-236520,15690979
47019,217469,Romney,0,-1,-217469,15710030
47021,362327,Romney,0,-1,-362327,15565172
47023,39738,Romney,0,-1,-39738,15887761
47025,39007,Romney,0,-1,-39007,15888492
47027,14485,Romney,0,-1,-14485,15913014
47029,67203,Romney,0,-1,-67203,15860296
47031,138088,Romney,0,-1,-138088,15789411
47033,60893,Romney,0,-1,-60893,15866606
47035,145168,Romney,0,-1,-145168,15782331
47037,4201200,Obama,1,1,4201200,20128699
47039,18893,Romney,0,-1,-18893,15908606
47041,71537,Romney,0,-1,-71537,15855962
47043,138287,Romney,0,-1,-138287,15789212
47045,100727,Romney,0,-1,-100727,15826772
47047,736303,Romney,0,-1,-736303,15191196
47049,35438,Romney,0,-1,-35438,15892061
47051,141676,Romney,0,-1,-141676,15785823
47053,106429,Romney,0,-1,-106429,15821070
47055,106784,Romney,0,-1,-106784,15820715
47057,38110,Romney,0,-1,-38110,15889389
47059,110475,Romney,0,-1,-110475,15817024
47061,59785,Romney,0,-1,-59785,15867714
47063,142296,Romney,0,-1,-142296,15785203
47065,1237158,Romney,0,-1,-1237158,14690341
47067,15159,Romney,0,-1,-15159,15912340
47069,44733,Obama,1,1,44733,15972232
47071,53717,Romney,0,-1,-53717,15873782
47073,200870,Romney,0,-1,-200870,15726629
47075,110127,Obama,1,1,110127,16037626
47077,66543,Romney,0,-1,-66543,15860956
47079,69886,Romney,0,-1,-69886,15857613
47081,101153,Romney,0,-1,-101153,15826346
47083,34982,Romney,0,-1,-34982,15892517
47085,42395,Romney,0,-1,-42395,15885104
47087,163348,Romney,0,-1,-163348,15764151
47089,197203,Romney,0,-1,-197203,15730296
47091,18754,Romney,0,-1,-18754,15908745
47093,1846647,Romney,0,-1,-1846647,14080852
47095,6369,Romney,0,-1,-6369,15921130
47097,29656,Romney,0,-1,-29656,15897843
47099,91093,Romney,0,-1,-91093,15836406
47101,42990,Romney,0,-1,-42990,15884509
47103,70300,Romney,0,-1,-70300,15857199
47105,543393,Romney,0,-1,-543393,15384106
47107,141594,Romney,0,-1,-141594,15785905
47109,35750,Romney,0,-1,-35750,15891749
47111,47453,Romney,0,-1,-47453,15880046
47113,311997,Romney,0,-1,-311997,15615502
47115,332868,Romney,0,-1,-332868,15594631
47117,288429,Romney,0,-1,-288429,15639070
47119,267492,Romney,0,-1,-267492,15660007
47121,44236,Romney,0,-1,-44236,15883263
47123,195464,Romney,0,-1,-195464,15732035
47125,372759,Romney,0,-1,-372759,15554740
47127,195233,Romney,0,-1,-195233,15732266
47129,76665,Romney,0,-1,-76665,15850834
47131,78428,Romney,0,-1,-78428,15849071
47133,177593,Romney,0,-1,-177593,15749906
47135,20021,Romney,0,-1,-20021,15907478
47137,23698,Romney,0,-1,-23698,15903801
47139,82326,Romney,0,-1,-82326,15845173
47141,194078,Romney,0,-1,-194078,15733421
47143,61282,Romney,0,-1,-61282,15866217
47145,336803,Romney,0,-1,-336803,15590696
47147,310579,Romney,0,-1,-310579,15616920
47149,985605,Romney,0,-1,-985605,14941894
47151,22002,Romney,0,-1,-22002,15905497
47153,264680,Romney,0,-1,-264680,15662819
47155,286712,Romney,0,-1,-286712,15640787
47157,3303419,Obama,1,1,3303419,19230918
47159,189586,Romney,0,-1,-189586,15737913
47161,23012,Romney,0,-1,-23012,15904487
47163,546012,Romney,0,-1,-546012,15381487
47165,623750,Romney,0,-1,-623750,15303749
47167,159692,Romney,0,-1,-159692,15767807
47169,128524,Romney,0,-1,-128524,15798975
47171,229764,Romney,0,-1,-229764,15697735
47173,116463,Romney,0,-1,-116463,15811036
47175,84796,Romney,0,-1,-84796,15842703
47177,78848,Romney,0,-1,-78848,15848651
47179,424490,Romney,0,-1,-424490,15503009
47181,52828,Romney,0,-1,-52828,15874671
47183,125577,Romney,0,-1,-125577,15801922
47185,89921,Romney,0,-1,-89921,15837578
47187,2677573,Romney,0,-1,-2677573,13249926
47189,668472,Romney,0,-1,-668472,15259027
48001,93203,Romney,0,-1,-93203,15834296
48003,67564,Romney,0,-1,-67564,15859935
48005,171937,Romney,0,-1,-171937,15755562
48007,94905,Romney,0,-1,-94905,15832594
48009,183690,Romney,0,-1,-183690,15743809
48011,15158,Romney,0,-1,-15158,15912341
48013,229327,Romney,0,-1,-229327,15698172
48015,238230,Romney,0,-1,-238230,15689269
48017,14348,Romney,0,-1,-14348,15913151
48019,350046,Romney,0,-1,-350046,15577453
48021,267719,Romney,0,-1,-267719,15659780
48023,8058,Romney,0,-1,-8058,15919441
48025,63581,Romney,0,-1,-63581,15863918
48027,667520,Romney,0,-1,-667520,15259979
48029,6017381,Obama,1,1,6017381,21944880
48031,427393,Romney,0,-1,-427393,15500106
48033,9211,Romney,0,-1,-9211,15918288
48035,66244,Romney,0,-1,-66244,15861255
48037,235022,Romney,0,-1,-235022,15692477
48039,1737974,Romney,0,-1,-1737974,14189525
48041,551680,Romney,0,-1,-551680,15375819
